,regression_slope,correlation_coefficient,output_val,output_&_lastval_difference,output_time,section_&_output_time_difference,section_start_time,section_end_time,section_time_difference,section_max_value,section_min_value,section_max_min_difference
0,4.186961587684081e-08,0.405711970415563,1.4987,0.0,13049400.0,7740.0,13024740.0,13041660.0,16920.0,1.4987666666666666,1.497,0.001766666666666472
1,2.2095119860372752e-08,0.07901863789363854,1.4979333333333331,-0.00036666666666640424,13052400.0,120.0,13049880.0,13052280.0,2400.0,1.4989666666666668,1.4982999999999995,0.0006666666666672594
2,-3.742877492877745e-07,-0.7691507774541196,1.4976333333333336,0.00013333333333376274,13054680.0,60.0,13052460.0,13054620.0,2160.0,1.498033333333333,1.4968666666666666,0.0011666666666665382
3,-2.901163534075101e-06,-0.9624891544399805,1.4948,-0.0001666666666666483,13055940.0,60.0,13054800.0,13055880.0,1080.0,1.4978,1.4947333333333332,0.003066666666666773
4,-5.492567397325886e-07,-0.3319356474297811,1.495,0.00039999999999995595,13056960.0,120.0,13056060.0,13056840.0,780.0,1.4947333333333332,1.4936,0.0011333333333332085
5,9.072638529998844e-07,0.7837253137996245,1.4961,0.00010000000000021103,13058280.0,120.0,13057020.0,13058160.0,1140.0,1.4966,1.4951,0.0014999999999998348
6,-1.998050682264884e-07,-0.10216240026125346,1.495766666666667,0.00030000000000041105,13059840.0,120.0,13058760.0,13059720.0,960.0,1.4967,1.4952666666666667,0.0014333333333331755
7,8.408535438990395e-07,0.7918816572379584,1.4967,0.00016666666666642627,13061040.0,120.0,13060020.0,13060920.0,900.0,1.4965333333333335,1.4955,0.0010333333333334416
8,-9.219188276373439e-07,-0.531222553498102,1.4955,-0.00019999999999997797,13062180.0,60.0,13061160.0,13062120.0,960.0,1.4967999999999997,1.4950666666666668,0.0017333333333329204
9,-3.579812206571811e-07,-0.35228327442398,1.4958,0.00023333333333330764,13063020.0,60.0,13062240.0,13062960.0,720.0,1.4959999999999998,1.4952,0.0007999999999996898
10,-2.42300375340625e-07,-0.6186917158856062,1.4951,0.000400000000000178,13068900.0,120.0,13063080.0,13068780.0,5700.0,1.4962333333333333,1.4944999999999995,0.0017333333333338086
11,2.652322357415365e-07,0.5880414363354801,1.4950666666666668,-0.0003333333333332966,13072440.0,480.0,13069200.0,13071960.0,2760.0,1.4961,1.4948,0.0013000000000000789
12,1.5557485353149857e-07,0.5427656965321906,1.4949,-0.00010000000000021103,13075920.0,60.0,13072560.0,13075860.0,3300.0,1.4951,1.4941000000000002,0.0009999999999998899
13,8.975431127332583e-07,0.786282819045381,1.4959,9.999999999998899e-05,13077840.0,240.0,13075980.0,13077600.0,1620.0,1.4958,1.4939333333333331,0.0018666666666669052
